age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,id
39,blue-collar,married,primary,no,1802,yes,no,unknown,2,jun,490,1,-1,0,unknown,no,8054
32,unemployed,married,secondary,no,262,no,no,cellular,29,jan,203,1,-1,0,unknown,no,28203
32,management,married,tertiary,no,2172,yes,no,cellular,22,aug,306,4,-1,0,unknown,no,22624
43,admin.,married,secondary,no,352,no,yes,cellular,31,jul,165,4,-1,0,unknown,no,18282
40,management,single,tertiary,no,242,yes,no,unknown,6,may,221,2,-1,0,unknown,no,686
30,services,divorced,secondary,no,704,yes,no,cellular,25,jul,524,10,-1,0,unknown,no,17141
33,technician,married,secondary,no,2147,no,no,cellular,7,sep,669,1,94,1,other,no,41458
29,blue-collar,married,secondary,no,7863,yes,no,cellular,14,may,1129,1,-1,0,unknown,yes,37873
42,blue-collar,divorced,unknown,no,0,no,no,cellular,7,jul,64,2,-1,0,unknown,no,12737
46,technician,married,secondary,no,0,yes,no,telephone,31,jul,181,2,-1,0,unknown,no,18384
58,retired,married,primary,no,0,no,no,cellular,11,aug,566,2,-1,0,unknown,no,20278
80,retired,married,primary,no,155,no,no,telephone,9,dec,343,2,-1,0,unknown,yes,42459
31,blue-collar,single,primary,no,2369,yes,yes,cellular,20,nov,470,2,-1,0,unknown,no,26754
31,management,married,tertiary,no,1164,yes,yes,cellular,18,nov,141,2,123,3,failure,no,25414
42,management,single,tertiary,no,1156,yes,no,unknown,4,jul,62,1,-1,0,unknown,no,12606
36,self-employed,married,primary,no,0,no,no,cellular,29,aug,97,2,-1,0,unknown,no,23855
27,services,married,primary,no,91,yes,no,unknown,8,may,168,2,-1,0,unknown,no,1356
30,admin.,single,secondary,no,-213,yes,yes,unknown,27,may,751,1,-1,0,unknown,yes,6337
48,self-employed,married,primary,no,3062,no,no,unknown,19,jun,237,5,-1,0,unknown,no,11578
33,technician,divorced,tertiary,no,39,no,no,cellular,19,aug,123,5,-1,0,unknown,no,21766
41,entrepreneur,married,secondary,no,1249,yes,no,cellular,9,jul,391,1,-1,0,unknown,no,13634
35,blue-collar,married,secondary,no,4635,yes,no,unknown,20,may,148,1,-1,0,unknown,no,4445
40,services,married,primary,no,258,no,no,unknown,20,jun,14,13,-1,0,unknown,no,11926
58,retired,married,tertiary,no,136,no,no,cellular,28,aug,211,6,-1,0,unknown,no,23450
47,blue-collar,married,unknown,no,30,no,yes,cellular,23,jul,498,2,-1,0,unknown,no,16528
33,blue-collar,married,secondary,no,0,yes,yes,cellular,11,jul,443,1,-1,0,unknown,no,14041
35,technician,married,secondary,no,51,yes,no,unknown,14,may,824,2,-1,0,unknown,no,2817
43,admin.,divorced,tertiary,no,1440,yes,yes,cellular,21,nov,149,1,175,1,failure,no,27300
36,admin.,single,secondary,no,0,yes,no,cellular,21,nov,139,2,-1,0,unknown,no,27617
48,management,married,tertiary,no,1335,no,no,cellular,22,aug,492,7,-1,0,unknown,no,22398
49,admin.,divorced,secondary,no,63,no,no,cellular,29,jul,435,2,-1,0,unknown,no,17648
39,blue-collar,married,primary,no,1506,yes,no,cellular,11,may,299,2,-1,0,unknown,no,36267
47,blue-collar,married,primary,no,193,yes,no,cellular,29,aug,171,2,-1,0,unknown,no,23818
66,admin.,divorced,secondary,no,220,no,no,cellular,28,aug,283,1,-1,0,unknown,no,41336
53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no,75
42,unemployed,married,secondary,no,202,no,no,unknown,5,jun,257,1,-1,0,unknown,no,9095
51,services,divorced,secondary,no,65,no,yes,cellular,15,jul,881,1,-1,0,unknown,yes,14643
28,services,divorced,secondary,no,356,no,no,cellular,28,jan,296,1,-1,0,unknown,no,27785
29,management,single,tertiary,no,1422,yes,yes,unknown,20,jun,29,27,-1,0,unknown,no,12043
49,technician,married,tertiary,no,503,no,no,unknown,1,jul,297,2,-1,0,unknown,no,12449
52,technician,divorced,secondary,no,106,no,no,cellular,12,aug,193,4,-1,0,unknown,no,20579
41,management,married,tertiary,no,-195,no,yes,cellular,20,nov,112,1,-1,0,unknown,no,26294
34,technician,divorced,unknown,no,975,yes,no,cellular,30,jan,263,2,191,1,other,no,28713
37,technician,married,secondary,no,1458,no,no,cellular,30,apr,281,1,-1,0,unknown,yes,33914
32,management,divorced,tertiary,no,530,yes,no,cellular,29,jan,131,1,127,3,failure,no,42809
52,services,married,tertiary,no,2801,yes,yes,unknown,17,jun,311,2,-1,0,unknown,no,11010
42,unemployed,divorced,secondary,no,325,yes,no,unknown,28,may,97,4,-1,0,unknown,no,7040
28,management,married,secondary,no,466,yes,no,cellular,25,may,123,2,-1,0,unknown,no,39511
48,admin.,married,secondary,no,1208,no,no,telephone,18,nov,126,4,-1,0,unknown,no,25217
44,self-employed,married,tertiary,no,430,yes,no,cellular,11,jul,221,2,-1,0,unknown,no,14187
28,management,divorced,secondary,no,-76,no,yes,cellular,14,jul,1271,2,-1,0,unknown,no,14447
32,admin.,married,tertiary,no,1019,yes,no,cellular,20,nov,489,2,-1,0,unknown,no,26883
38,management,married,tertiary,no,-120,yes,no,cellular,11,may,148,1,367,2,failure,no,36291
31,blue-collar,married,secondary,no,297,yes,no,unknown,12,may,480,1,-1,0,unknown,no,2162
37,unemployed,single,tertiary,no,953,yes,no,cellular,2,feb,102,1,155,5,failure,no,42829
33,blue-collar,single,secondary,no,38,yes,no,telephone,12,may,139,4,371,1,other,no,36621
42,self-employed,married,secondary,no,105,no,no,cellular,27,aug,85,4,-1,0,unknown,no,23320
53,management,married,tertiary,no,2327,no,no,cellular,8,aug,94,2,-1,0,unknown,no,19751
55,blue-collar,married,tertiary,no,1341,no,no,cellular,22,aug,46,8,-1,0,unknown,no,22440
24,management,married,unknown,no,448,no,no,cellular,14,apr,324,1,-1,0,unknown,yes,32065
34,technician,married,secondary,no,883,no,no,telephone,3,feb,166,2,173,3,failure,no,29494
37,services,married,secondary,no,42,yes,no,cellular,12,may,107,3,369,4,failure,no,36747
50,admin.,married,unknown,no,4861,no,no,cellular,17,nov,256,2,-1,0,unknown,no,24550
41,blue-collar,married,secondary,no,629,yes,yes,unknown,30,may,208,2,-1,0,unknown,no,7700
53,admin.,married,secondary,no,1796,no,no,telephone,5,jun,145,1,-1,0,unknown,no,40151
82,retired,married,secondary,no,121,no,no,telephone,19,feb,330,1,-1,0,unknown,yes,43080
44,unknown,single,secondary,no,2023,no,no,cellular,30,jul,67,21,-1,0,unknown,no,18112
32,management,single,tertiary,no,11,yes,yes,cellular,5,may,399,1,-1,0,unknown,no,34603
30,technician,single,secondary,no,341,no,no,unknown,23,feb,20,1,-1,0,unknown,no,43101
38,blue-collar,married,primary,no,-41,yes,no,cellular,21,jul,68,10,-1,0,unknown,no,15795
49,technician,married,tertiary,no,196,no,no,cellular,4,feb,9,7,163,24,other,no,30033
31,services,single,secondary,no,900,yes,no,cellular,20,nov,321,2,190,4,other,no,26382
42,admin.,divorced,secondary,no,0,yes,no,unknown,7,may,229,2,-1,0,unknown,no,1044
28,unemployed,single,tertiary,no,1638,no,no,cellular,29,jan,238,1,-1,0,unknown,no,28155
36,services,single,secondary,no,174,yes,no,unknown,7,may,223,2,-1,0,unknown,no,1059
26,student,single,unknown,no,-41,yes,no,unknown,8,may,229,2,-1,0,unknown,no,1401
41,admin.,married,primary,no,4488,yes,no,cellular,9,jul,321,1,-1,0,unknown,no,13477
42,self-employed,married,secondary,no,0,no,no,cellular,14,aug,277,4,-1,0,unknown,no,21157
51,technician,married,secondary,no,-379,yes,no,cellular,5,aug,261,1,-1,0,unknown,no,19036
52,admin.,married,primary,no,270,yes,no,unknown,7,may,294,2,-1,0,unknown,no,979
27,admin.,single,secondary,no,4590,yes,no,cellular,13,aug,75,1,442,2,failure,no,41002
51,housemaid,married,primary,no,605,no,no,cellular,3,feb,91,2,159,14,failure,no,29589
39,management,divorced,tertiary,no,3261,yes,no,unknown,9,jun,150,17,-1,0,unknown,no,9956
51,technician,married,secondary,no,176,no,no,unknown,6,jun,217,4,-1,0,unknown,no,9530
46,blue-collar,married,primary,no,0,yes,no,unknown,14,may,73,1,-1,0,unknown,no,2788
49,blue-collar,married,secondary,no,1743,no,no,unknown,18,jun,68,1,-1,0,unknown,no,11176
52,management,married,secondary,no,189,no,no,cellular,22,aug,90,2,-1,0,unknown,no,22373
57,management,married,tertiary,no,2681,no,no,cellular,11,mar,266,2,-1,0,unknown,yes,31309
57,retired,married,secondary,no,49,yes,yes,cellular,25,aug,93,4,-1,0,unknown,no,22842
47,management,divorced,tertiary,no,140,no,yes,cellular,20,nov,148,2,-1,0,unknown,no,26751
39,management,married,tertiary,no,606,no,no,cellular,4,feb,79,1,-1,0,unknown,no,29860
38,blue-collar,single,secondary,no,48,no,no,unknown,19,jun,43,3,-1,0,unknown,no,11557
55,technician,married,secondary,no,741,yes,no,unknown,15,may,973,2,-1,0,unknown,no,3468
31,management,divorced,tertiary,no,373,no,no,cellular,10,feb,132,6,-1,0,unknown,yes,31023
46,management,single,secondary,no,244,yes,no,unknown,15,may,244,1,-1,0,unknown,no,3234
34,management,married,tertiary,no,1518,yes,no,cellular,20,nov,128,2,-1,0,unknown,no,26728
31,management,married,tertiary,no,156,no,no,cellular,20,aug,77,2,-1,0,unknown,no,21954
53,management,married,primary,no,1925,no,no,cellular,19,nov,161,1,-1,0,unknown,no,25770
41,admin.,married,secondary,no,125,no,no,cellular,7,jul,244,4,-1,0,unknown,no,12746
41,unemployed,married,secondary,no,0,yes,yes,telephone,27,apr,89,12,-1,0,unknown,no,33816
25,blue-collar,married,primary,no,0,no,no,cellular,7,jul,64,1,-1,0,unknown,no,12754
39,technician,single,secondary,no,-225,no,no,cellular,19,aug,220,1,-1,0,unknown,no,21724
26,management,single,tertiary,no,828,yes,no,cellular,30,jan,141,1,-1,0,unknown,no,28750
42,technician,divorced,secondary,no,324,yes,no,cellular,27,aug,203,2,-1,0,unknown,no,23223
37,admin.,single,tertiary,no,2505,no,no,cellular,7,aug,420,3,-1,0,unknown,no,19461
48,blue-collar,married,primary,no,214,yes,yes,cellular,18,nov,246,1,162,1,failure,no,25408
30,admin.,married,secondary,no,1165,no,no,cellular,20,apr,98,2,-1,0,unknown,no,33413
58,management,married,tertiary,no,4152,yes,no,cellular,13,may,76,7,13,6,success,no,37448
33,admin.,married,secondary,no,394,yes,no,telephone,1,sep,104,3,-1,0,unknown,no,44627
43,entrepreneur,married,secondary,no,3766,no,no,cellular,18,nov,84,4,-1,0,unknown,no,25291
32,blue-collar,single,secondary,no,217,yes,no,cellular,15,may,692,3,-1,0,unknown,yes,38732
51,blue-collar,married,primary,no,2995,yes,no,unknown,11,jun,93,2,-1,0,unknown,no,10259
39,blue-collar,married,primary,no,332,yes,no,unknown,8,may,277,3,-1,0,unknown,no,1539
40,services,single,secondary,no,-27,no,yes,unknown,1,jul,221,1,-1,0,unknown,no,12484
42,services,married,secondary,no,1007,no,no,unknown,5,jun,139,1,-1,0,unknown,no,9060
32,management,divorced,tertiary,no,219,yes,no,cellular,16,jul,111,1,-1,0,unknown,no,14884
34,admin.,single,secondary,no,10,no,yes,cellular,18,nov,162,1,173,3,failure,no,24941
36,management,single,tertiary,no,171,no,no,unknown,17,jun,398,4,-1,0,unknown,no,11033
48,blue-collar,married,primary,no,1850,yes,no,cellular,29,jul,61,1,-1,0,unknown,no,17805
59,management,married,tertiary,no,1857,no,no,cellular,14,aug,128,4,-1,0,unknown,no,21035
26,blue-collar,single,secondary,no,78,no,no,telephone,28,jan,43,1,-1,0,unknown,no,27826
64,technician,married,secondary,no,1473,yes,no,cellular,13,feb,121,2,-1,0,unknown,no,31074
40,technician,married,tertiary,no,4396,no,no,unknown,18,jun,1195,2,-1,0,unknown,no,11290
34,blue-collar,married,primary,no,139,yes,no,unknown,9,may,106,1,-1,0,unknown,no,1800
33,technician,married,secondary,no,1940,no,no,cellular,27,aug,46,10,-1,0,unknown,no,23394
57,blue-collar,married,primary,no,1075,no,no,cellular,22,aug,164,6,-1,0,unknown,no,22447
30,blue-collar,married,secondary,no,294,yes,yes,unknown,16,jun,50,3,-1,0,unknown,no,10599
38,technician,married,unknown,no,90,yes,yes,unknown,8,may,20,2,-1,0,unknown,no,1408
36,services,divorced,primary,no,418,yes,no,cellular,8,may,156,2,-1,0,unknown,no,35625
38,admin.,married,secondary,no,326,yes,no,cellular,17,apr,69,2,-1,0,unknown,no,32987
58,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,700,1,-1,0,unknown,yes,9836
37,housemaid,married,secondary,no,1558,no,no,cellular,6,aug,499,2,-1,0,unknown,no,19330
30,blue-collar,married,secondary,no,278,yes,yes,unknown,23,may,1073,1,-1,0,unknown,yes,5283
38,unemployed,married,secondary,no,995,no,no,unknown,26,jul,84,1,-1,0,unknown,no,44283
31,management,single,tertiary,no,0,yes,no,unknown,9,may,94,3,-1,0,unknown,no,1930
44,services,married,secondary,no,1864,yes,no,telephone,6,may,10,1,-1,0,unknown,no,34887
59,housemaid,married,primary,no,935,yes,no,cellular,19,nov,103,3,166,2,failure,no,25716
34,blue-collar,divorced,secondary,no,1614,yes,no,cellular,15,may,228,2,297,1,other,no,38474
50,blue-collar,married,primary,no,8000,yes,no,cellular,20,aug,221,10,-1,0,unknown,no,22052
36,technician,married,secondary,no,72,yes,no,cellular,19,nov,206,3,-1,0,unknown,no,26103
35,management,single,tertiary,no,1632,yes,no,unknown,2,jun,430,2,-1,0,unknown,no,8185
32,technician,single,tertiary,no,388,yes,no,cellular,22,aug,119,2,-1,0,unknown,no,22412
35,blue-collar,married,primary,no,305,yes,no,cellular,25,jul,168,2,-1,0,unknown,no,16970
34,technician,married,secondary,no,118,yes,no,cellular,18,may,53,4,262,2,failure,no,39270
35,unemployed,married,tertiary,no,1057,yes,no,cellular,8,apr,902,2,-1,0,unknown,no,31855
35,admin.,divorced,secondary,no,1085,no,no,cellular,5,jun,199,1,86,7,success,yes,40128
25,blue-collar,single,secondary,no,158,yes,yes,cellular,16,jul,231,2,-1,0,unknown,no,14880
40,technician,single,secondary,no,641,no,no,cellular,16,jul,156,6,-1,0,unknown,no,14942
49,management,married,tertiary,no,391,no,no,unknown,17,jun,128,1,-1,0,unknown,no,10797
43,unemployed,married,secondary,no,1943,yes,no,cellular,18,nov,202,2,-1,0,unknown,no,25296
31,admin.,married,secondary,no,5,no,no,unknown,16,may,102,1,-1,0,unknown,no,3815
19,student,single,secondary,no,424,no,no,cellular,30,jun,121,3,195,2,other,no,44042
29,technician,single,secondary,no,316,yes,yes,unknown,27,may,211,1,-1,0,unknown,no,6404
34,entrepreneur,married,secondary,no,183,yes,no,cellular,15,may,339,4,-1,0,unknown,no,38692
36,admin.,married,secondary,no,1207,yes,no,cellular,19,nov,1792,2,-1,0,unknown,yes,25979
33,services,married,secondary,no,7,yes,no,unknown,20,may,217,1,-1,0,unknown,no,4537
58,housemaid,married,primary,no,2387,no,no,unknown,18,jun,55,2,-1,0,unknown,no,11338
32,management,single,tertiary,no,2613,no,no,cellular,4,may,520,2,-1,0,unknown,no,34393
24,student,single,secondary,no,1957,no,no,cellular,4,jun,113,1,-1,0,unknown,no,40094
31,self-employed,married,tertiary,no,2666,no,no,telephone,8,jul,411,2,148,9,other,yes,44101
45,blue-collar,married,primary,no,333,yes,no,unknown,13,may,160,3,-1,0,unknown,no,2322
32,self-employed,married,tertiary,no,14522,no,no,cellular,21,nov,221,7,-1,0,unknown,no,27463
38,entrepreneur,married,tertiary,no,170,yes,no,cellular,18,may,442,1,-1,0,unknown,yes,39106
23,blue-collar,married,secondary,no,0,yes,no,cellular,14,may,223,1,-1,0,unknown,no,37660
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,1,-1,0,unknown,yes,2519
40,blue-collar,married,primary,no,2502,yes,no,cellular,18,may,205,1,-1,0,unknown,no,38892
53,blue-collar,married,secondary,no,913,yes,no,cellular,23,jul,730,1,-1,0,unknown,no,16267
35,unemployed,single,primary,no,68,no,no,cellular,3,jul,175,1,-1,0,unknown,yes,40449
39,management,married,primary,no,13,no,no,unknown,2,jun,59,4,-1,0,unknown,no,8338
59,retired,married,tertiary,no,1312,yes,no,cellular,1,jun,244,2,-1,0,unknown,no,39778
57,admin.,divorced,primary,no,987,no,no,unknown,16,jun,295,2,-1,0,unknown,no,10743
35,management,married,tertiary,no,0,no,no,cellular,26,aug,436,2,-1,0,unknown,no,23060
60,admin.,married,secondary,no,1880,yes,no,unknown,15,may,196,4,-1,0,unknown,no,3595
54,housemaid,divorced,secondary,yes,34,no,no,cellular,21,jul,208,3,-1,0,unknown,no,15773
39,blue-collar,married,secondary,no,2457,no,no,cellular,29,jul,284,3,-1,0,unknown,no,17796
36,entrepreneur,married,tertiary,no,-502,yes,no,cellular,20,apr,22,4,-1,0,unknown,no,33662
30,services,married,tertiary,no,2025,yes,no,cellular,17,apr,140,1,-1,0,unknown,no,32837
38,entrepreneur,married,secondary,no,61,yes,yes,unknown,28,may,170,5,-1,0,unknown,no,6812
42,management,married,tertiary,no,484,yes,no,cellular,11,jul,144,2,-1,0,unknown,no,14139
36,blue-collar,divorced,primary,no,0,no,no,cellular,14,may,543,2,-1,0,unknown,no,37820
41,technician,married,secondary,no,2851,no,no,cellular,18,aug,296,3,-1,0,unknown,no,21442
40,management,married,tertiary,no,1217,yes,yes,cellular,18,nov,155,1,-1,0,unknown,no,24906
58,management,married,tertiary,no,9683,no,no,cellular,4,aug,857,2,-1,0,unknown,no,18986
56,entrepreneur,married,tertiary,no,693,no,no,cellular,22,jul,89,5,-1,0,unknown,no,16160
36,technician,divorced,secondary,no,-435,yes,no,unknown,2,jun,85,8,-1,0,unknown,no,8180
46,blue-collar,married,secondary,no,1004,yes,no,unknown,15,may,34,1,-1,0,unknown,no,3266
37,management,married,primary,no,22856,no,no,cellular,2,jul,154,1,388,1,failure,no,40425
32,management,single,tertiary,no,2360,no,no,cellular,3,feb,152,2,160,5,other,yes,29510
52,technician,married,secondary,no,1,no,no,cellular,29,jan,189,1,248,6,other,no,28415
37,management,married,primary,no,1404,yes,no,cellular,2,feb,97,1,-1,0,unknown,no,29186
43,management,married,tertiary,no,240,yes,no,cellular,16,apr,453,1,-1,0,unknown,yes,32357
31,services,single,secondary,no,8,no,no,cellular,7,jul,340,3,-1,0,unknown,no,12953
51,technician,married,secondary,no,614,yes,no,cellular,18,may,9,4,-1,0,unknown,no,38748
30,management,single,tertiary,no,355,yes,no,cellular,15,may,153,2,-1,0,unknown,no,38620
46,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,172,3,-1,0,unknown,no,5548
39,technician,married,secondary,no,22,no,no,cellular,21,aug,76,2,-1,0,unknown,no,22146
50,management,married,tertiary,yes,161,no,yes,cellular,18,jul,642,1,-1,0,unknown,no,15432
51,management,married,tertiary,no,3134,no,no,unknown,19,jun,92,3,-1,0,unknown,no,11506
30,student,single,tertiary,no,7529,no,no,cellular,20,apr,175,6,183,1,success,yes,43503
45,housemaid,married,secondary,no,870,no,yes,unknown,19,jun,258,2,-1,0,unknown,no,11620
67,management,married,tertiary,no,694,no,no,cellular,7,jul,250,1,-1,0,unknown,no,40482
37,admin.,divorced,secondary,yes,-302,no,no,unknown,17,jun,406,3,-1,0,unknown,no,11024
52,management,married,tertiary,no,7900,yes,no,cellular,20,nov,90,2,-1,0,unknown,no,26859
41,management,married,tertiary,no,3348,no,no,cellular,4,aug,74,1,-1,0,unknown,no,18831
31,student,single,secondary,no,0,no,no,cellular,22,sep,173,1,-1,0,unknown,no,44842
26,blue-collar,married,secondary,no,484,yes,no,unknown,19,may,48,2,-1,0,unknown,no,4167
46,management,married,tertiary,no,459,yes,no,unknown,6,may,221,1,-1,0,unknown,no,527
42,blue-collar,married,primary,no,505,yes,no,unknown,14,may,521,2,-1,0,unknown,no,2952
64,retired,married,secondary,no,1574,no,no,telephone,29,jul,301,3,-1,0,unknown,yes,44327
38,blue-collar,married,secondary,no,422,yes,no,cellular,11,may,286,3,-1,0,unknown,no,36388
43,blue-collar,married,primary,no,720,no,no,unknown,25,jun,168,8,-1,0,unknown,no,12308
43,entrepreneur,married,secondary,no,0,no,no,telephone,4,may,6,4,-1,0,unknown,no,34348
30,admin.,married,tertiary,no,26,yes,no,cellular,16,apr,62,1,323,1,failure,no,32337
29,management,single,tertiary,no,3041,yes,no,cellular,8,may,606,3,-1,0,unknown,yes,35791
46,blue-collar,single,primary,no,259,no,yes,cellular,31,jul,652,7,-1,0,unknown,no,18800
46,management,married,tertiary,no,51,no,no,cellular,6,aug,39,9,-1,0,unknown,no,19362
31,management,single,tertiary,no,147,no,no,cellular,13,sep,81,3,96,5,success,no,44773
59,retired,divorced,secondary,no,514,yes,no,cellular,17,nov,573,1,188,1,other,no,24407
45,technician,married,secondary,no,-237,yes,yes,unknown,15,may,71,3,-1,0,unknown,no,3592
58,blue-collar,married,primary,no,5,no,no,unknown,8,may,177,2,-1,0,unknown,no,1349
45,services,married,secondary,no,3638,yes,yes,unknown,3,jun,313,7,-1,0,unknown,no,8642
34,blue-collar,married,secondary,no,7,yes,yes,cellular,2,feb,171,2,193,2,other,no,29211
58,blue-collar,married,primary,no,0,yes,no,cellular,31,jul,5,25,-1,0,unknown,no,18293
33,technician,single,secondary,no,2085,no,no,cellular,9,feb,501,2,-1,0,unknown,yes,42967
32,blue-collar,single,primary,no,12198,yes,no,cellular,18,may,178,1,-1,0,unknown,yes,39096
44,blue-collar,married,primary,no,858,yes,no,unknown,21,may,362,5,-1,0,unknown,no,5183
26,technician,divorced,secondary,no,21,yes,no,unknown,27,may,133,1,-1,0,unknown,no,6267
48,technician,single,secondary,no,309,no,no,cellular,7,aug,190,2,-1,0,unknown,no,19626
30,technician,married,secondary,no,4,yes,no,cellular,8,may,17,5,-1,0,unknown,no,35703
58,blue-collar,married,primary,no,73,no,no,unknown,17,jun,116,1,-1,0,unknown,no,10864
30,management,single,secondary,no,340,yes,no,cellular,15,may,136,2,361,1,other,no,38471
42,admin.,single,secondary,no,1143,yes,yes,telephone,17,nov,106,1,-1,0,unknown,no,24564
37,blue-collar,married,primary,no,53,yes,no,unknown,19,may,467,4,-1,0,unknown,no,4360
33,technician,single,secondary,no,181,yes,no,cellular,13,may,25,7,-1,0,unknown,no,37526
33,admin.,divorced,secondary,no,1762,yes,no,cellular,19,nov,146,2,-1,0,unknown,no,25978
38,admin.,married,primary,no,1487,no,no,unknown,9,jun,332,2,-1,0,unknown,no,10000
31,management,married,tertiary,no,10884,no,no,cellular,10,aug,294,3,98,2,success,yes,40777
35,technician,married,secondary,no,0,yes,yes,unknown,23,may,107,2,-1,0,unknown,no,5543
44,unemployed,married,primary,no,1617,no,no,telephone,3,feb,56,1,-1,0,unknown,no,29482
35,unemployed,single,primary,yes,-84,no,no,cellular,9,feb,19,11,-1,0,unknown,no,30840
58,management,married,tertiary,no,2764,no,no,cellular,1,jun,459,1,196,1,failure,no,39785
45,blue-collar,married,primary,no,147,yes,no,cellular,18,nov,226,1,168,2,failure,no,25004
55,technician,married,secondary,no,462,no,no,cellular,11,aug,116,2,-1,0,unknown,no,20134
30,management,single,tertiary,no,638,yes,no,cellular,20,apr,483,2,291,6,other,no,33076
32,student,single,unknown,no,376,no,no,cellular,12,aug,192,1,91,5,failure,no,44533
41,management,married,tertiary,no,326,yes,no,cellular,5,may,788,1,-1,0,unknown,yes,34638
34,blue-collar,married,primary,no,333,yes,yes,cellular,11,may,63,1,-1,0,unknown,no,36332
53,technician,divorced,secondary,no,12,no,no,unknown,5,jun,150,2,-1,0,unknown,no,9258
35,management,single,tertiary,no,1120,no,no,unknown,21,sep,4,1,771,2,success,no,44840
54,management,married,tertiary,no,2819,no,no,cellular,7,aug,123,3,-1,0,unknown,no,19724
33,blue-collar,married,secondary,no,-267,yes,no,cellular,20,apr,1030,3,-1,0,unknown,yes,33509
55,retired,divorced,secondary,no,282,yes,no,unknown,5,jun,99,2,-1,0,unknown,no,9026
56,technician,married,tertiary,no,272,no,no,cellular,26,aug,103,2,-1,0,unknown,no,23011
58,retired,divorced,primary,no,47,yes,no,unknown,9,may,225,1,-1,0,unknown,no,1844
31,technician,married,secondary,no,0,yes,no,cellular,17,nov,326,2,-1,0,unknown,no,24607
31,blue-collar,married,secondary,no,799,yes,no,cellular,21,jul,181,1,-1,0,unknown,no,15762
32,services,married,secondary,no,1670,no,no,cellular,13,may,223,1,299,2,failure,no,37308
37,blue-collar,married,secondary,no,1736,no,yes,unknown,18,jun,66,1,-1,0,unknown,no,11098
39,admin.,married,secondary,no,598,yes,no,unknown,15,may,444,1,-1,0,unknown,no,3480
46,admin.,single,secondary,no,751,yes,no,unknown,13,may,104,2,-1,0,unknown,no,2557
39,management,married,tertiary,no,-342,yes,no,unknown,27,may,110,2,-1,0,unknown,no,6499
27,admin.,single,secondary,no,125,no,no,cellular,21,jul,104,1,288,8,failure,no,44246
35,unknown,married,tertiary,no,1260,no,no,cellular,11,aug,204,9,-1,0,unknown,no,20208
29,services,married,secondary,no,368,yes,no,cellular,20,apr,16,5,-1,0,unknown,no,33450
49,blue-collar,married,primary,no,1019,yes,no,cellular,16,apr,285,5,-1,0,unknown,no,32363
30,services,single,secondary,no,-114,yes,no,cellular,21,jul,396,2,-1,0,unknown,no,15640
24,unemployed,single,tertiary,no,39,yes,no,unknown,20,jun,15,3,-1,0,unknown,no,11947
33,admin.,single,tertiary,no,102,no,no,cellular,28,dec,83,4,-1,0,unknown,no,42560
34,blue-collar,married,primary,no,351,no,yes,cellular,14,jul,326,11,-1,0,unknown,no,14439
33,management,married,tertiary,no,0,yes,no,unknown,2,jun,223,1,-1,0,unknown,no,8089
33,unemployed,single,secondary,no,177,no,no,unknown,8,may,75,4,-1,0,unknown,no,1544
48,management,married,tertiary,no,6748,no,no,cellular,27,aug,162,3,-1,0,unknown,no,23232
32,management,married,secondary,no,134,yes,yes,cellular,15,may,532,3,-1,0,unknown,yes,38464
58,management,single,tertiary,no,2,yes,no,telephone,11,may,168,3,-1,0,unknown,no,36299
33,technician,single,secondary,no,-325,yes,no,cellular,15,jul,159,6,-1,0,unknown,no,14736
48,management,married,secondary,no,397,no,no,unknown,11,jun,389,6,-1,0,unknown,no,10194
44,services,single,secondary,no,2886,no,no,unknown,20,jun,31,1,-1,0,unknown,no,11760
57,admin.,married,secondary,no,2,no,no,telephone,10,jul,144,2,-1,0,unknown,no,13899
52,blue-collar,married,tertiary,no,297,yes,no,cellular,18,nov,62,2,195,1,failure,no,25177
38,admin.,single,secondary,no,-211,no,yes,cellular,31,jul,166,2,-1,0,unknown,no,18480
59,retired,married,secondary,no,17769,no,no,cellular,19,nov,322,3,-1,0,unknown,no,26081
30,blue-collar,married,primary,no,265,yes,yes,unknown,9,may,380,1,-1,0,unknown,no,1636
32,services,married,secondary,no,983,yes,no,cellular,10,jul,121,1,-1,0,unknown,no,13702
29,self-employed,married,tertiary,no,2305,no,no,cellular,27,may,82,2,-1,0,unknown,no,39660
46,management,married,tertiary,no,716,yes,yes,cellular,17,nov,106,1,-1,0,unknown,no,24427
52,blue-collar,single,unknown,no,905,yes,no,unknown,30,may,170,4,-1,0,unknown,no,7903
34,management,single,tertiary,no,184,no,no,cellular,22,jul,203,4,-1,0,unknown,no,16174
46,housemaid,married,primary,no,4064,no,no,unknown,20,jun,62,4,-1,0,unknown,no,11661
56,retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no,3315
25,student,single,secondary,no,722,yes,no,unknown,19,jun,172,1,-1,0,unknown,no,11582
49,technician,married,secondary,no,402,no,no,cellular,5,nov,76,2,-1,0,unknown,no,42158
39,admin.,divorced,secondary,no,43,yes,no,cellular,4,feb,108,1,-1,0,unknown,no,29887
